"year","ten_digit","region","province","muniCity","dot_region","dot_province","dot_municity","total","correspondence_code","pop_2020","id","traveler","count"
2019,330100000,"Region III (Central Luzon)","Pampanga","Angeles City","Region III  (CENTRAL LUZON)","Pampanga","Angeles City",792043,35401000,462928,"035401000","domestic",354141
2019,401003000,"Region IV-A (CALABARZON)","Batangas","Balayan","Region IV-A (CALABARZON)","Batangas","Balayan",96178,41003000,95913,"041003000","foreign",361
2019,401003000,"Region IV-A (CALABARZON)","Batangas","Balayan","Region IV-A (CALABARZON)","Batangas","Balayan",96178,41003000,95913,"041003000","overseas",NA
2019,401003000,"Region IV-A (CALABARZON)","Batangas","Balayan","Region IV-A (CALABARZON)","Batangas","Balayan",96178,41003000,95913,"041003000","domestic",95817
2019,401005000,"Region IV-A (CALABARZON)","Batangas","Batangas City","Region IV-A (CALABARZON)","Batangas","Batangas City",210966,41005000,351437,"041005000","foreign",21384
2019,401005000,"Region IV-A (CALABARZON)","Batangas","Batangas City","Region IV-A (CALABARZON)","Batangas","Batangas City",210966,41005000,351437,"041005000","overseas",NA
2019,401005000,"Region IV-A (CALABARZON)","Batangas","Batangas City","Region IV-A (CALABARZON)","Batangas","Batangas City",210966,41005000,351437,"041005000","domestic",189582
2019,401012000,"Region IV-A (CALABARZON)","Batangas","Lemery","Region IV-A (CALABARZON)","Batangas","Lemery",52359,41012000,93186,"041012000","foreign",163
2019,401012000,"Region IV-A (CALABARZON)","Batangas","Lemery","Region IV-A (CALABARZON)","Batangas","Lemery",52359,41012000,93186,"041012000","overseas",NA
2019,401012000,"Region IV-A (CALABARZON)","Batangas","Lemery","Region IV-A (CALABARZON)","Batangas","Lemery",52359,41012000,93186,"041012000","domestic",52196
2019,401014000,"Region IV-A (CALABARZON)","Batangas","Lipa City","Region IV-A (CALABARZON)","Batangas","Lipa City",53491,41014000,372931,"041014000","foreign",11103
2019,401014000,"Region IV-A (CALABARZON)","Batangas","Lipa City","Region IV-A (CALABARZON)","Batangas","Lipa City",53491,41014000,372931,"041014000","overseas",NA
2019,401014000,"Region IV-A (CALABARZON)","Batangas","Lipa City","Region IV-A (CALABARZON)","Batangas","Lipa City",53491,41014000,372931,"041014000","domestic",42388
2019,401015000,"Region IV-A (CALABARZON)","Batangas","Lobo","Region IV-A (CALABARZON)","Batangas","Lobo",63052,41015000,40736,"041015000","foreign",301
